DRR147067	DRR147067_1.fastq.gz	DRR147067_2.fastq.gz	DRR147067_u1.fastq.gz	DRR147067_u2.fastq.gz
DRR147069	DRR147069_1.fastq.gz	DRR147069_2.fastq.gz	DRR147069_u1.fastq.gz	DRR147069_u2.fastq.gz
DRR147072	DRR147072_1.fastq.gz	DRR147072_2.fastq.gz	DRR147072_u1.fastq.gz	DRR147072_u2.fastq.gz
DRR147075	DRR147075_1.fastq.gz	DRR147075_2.fastq.gz	DRR147075_u1.fastq.gz	DRR147075_u2.fastq.gz
DRR147079	DRR147079_1.fastq.gz	DRR147079_2.fastq.gz	DRR147079_u1.fastq.gz	DRR147079_u2.fastq.gz
DRR149584	DRR149584_1.fastq.gz	DRR149584_2.fastq.gz	DRR149584_u1.fastq.gz	DRR149584_u2.fastq.gz
DRR149590	DRR149590_1.fastq.gz	DRR149590_2.fastq.gz	DRR149590_u1.fastq.gz	DRR149590_u2.fastq.gz
DRR149598	DRR149598_1.fastq.gz	DRR149598_2.fastq.gz	DRR149598_u1.fastq.gz	DRR149598_u2.fastq.gz
DRR149646	DRR149646_1.fastq.gz	DRR149646_2.fastq.gz	DRR149646_u1.fastq.gz	DRR149646_u2.fastq.gz
DRR149690	DRR149690_1.fastq.gz	DRR149690_2.fastq.gz	DRR149690_u1.fastq.gz	DRR149690_u2.fastq.gz
DRR149748	DRR149748_1.fastq.gz	DRR149748_2.fastq.gz	DRR149748_u1.fastq.gz	DRR149748_u2.fastq.gz
DRR149750	DRR149750_1.fastq.gz	DRR149750_2.fastq.gz	DRR149750_u1.fastq.gz	DRR149750_u2.fastq.gz
DRR149762	DRR149762_1.fastq.gz	DRR149762_2.fastq.gz	DRR149762_u1.fastq.gz	DRR149762_u2.fastq.gz
DRR149766	DRR149766_1.fastq.gz	DRR149766_2.fastq.gz	DRR149766_u1.fastq.gz	DRR149766_u2.fastq.gz
DRR149771	DRR149771_1.fastq.gz	DRR149771_2.fastq.gz	DRR149771_u1.fastq.gz	DRR149771_u2.fastq.gz
